# NIFTY500 constituents — vendored from NSE.
# Source: https://nsearchives.nseindia.com/content/indices/ind_nifty500list.csv
# Captured: 2026-08-19. NSE rebalances the index periodically (~semi-annual,
# with interim changes on corporate events) — re-fetch this file after a
# rebalance. Loader: reports/universes.py::load_nifty500().
symbol,company,industry,isin
PPLPHARMA,Piramal Pharma Ltd.,Healthcare,INE0DK501011
PREMIERENE,Premier Energies Ltd.,Capital Goods,INE0BS701011
PRESTIGE,Prestige Estates Projects Ltd.,Realty,INE811K01011
PTCIL,PTC Industries Ltd.,Capital Goods,INE596F01018
PVRINOX,PVR INOX Ltd.,Media Entertainment & Publication,INE191H01014
PWL,Physicswallah Ltd.,Consumer Services,INE0LP301011
RADICO,Radico Khaitan Ltd,Fast Moving Consumer Goods,INE944F01028
RAILTEL,Railtel Corporation Of India Ltd.,Telecommunication,INE0DD101019
RAINBOW,Rainbow Childrens Medicare Ltd.,Healthcare,INE961O01016
RAMCOCEM,The Ramco Cements Ltd.,Construction Materials,INE331A01037
RBLBANK,RBL Bank Ltd.,Financial Services,INE976G01028
RECLTD,REC Ltd.,Financial Services,INE020B01018
REDINGTON,Redington Ltd.,Services,INE891D01026
RELIANCE,Reliance Industries Ltd.,Oil Gas & Consumable Fuels,INE002A01018
RHIM,RHI MAGNESITA INDIA LTD.,Capital Goods,INE743M01012
RITES,RITES Ltd.,Construction,INE320J01015
RKFORGE,Ramkrishna Forgings Ltd.,Automobile and Auto Components,INE399G01023
RPOWER,Reliance Power Ltd.,Power,INE614G01033
RRKABEL,R R Kabel Ltd.,Capital Goods,INE777K01022
RVNL,Rail Vikas Nigam Ltd.,Construction,INE415G01027
SAGILITY,Sagility Ltd.,Information Technology,INE0W2G01015
SAIL,Steel Authority of India Ltd.,Metals & Mining,INE114A01011
SAILIFE,Sai Life Sciences Ltd.,Healthcare,INE570L01029
SAMMAANCAP,Sammaan Capital Ltd.,Financial Services,INE148I01020
SAPPHIRE,Sapphire Foods India Ltd.,Consumer Services,INE806T01020
SARDAEN,Sarda Energy and Minerals Ltd.,Metals & Mining,INE385C01021
SAREGAMA,Saregama India Ltd,Media Entertainment & Publication,INE979A01025
SBFC,SBFC Finance Ltd.,Financial Services,INE423Y01016
SBICARD,SBI Cards and Payment Services Ltd.,Financial Services,INE018E01016
SBILIFE,SBI Life Insurance Company Ltd.,Financial Services,INE123W01016
SBIN,State Bank of India,Financial Services,INE062A01020
SCHAEFFLER,Schaeffler India Ltd.,Automobile and Auto Components,INE513A01022
SCHNEIDER,Schneider Electric Infrastructure Ltd.,Capital Goods,INE839M01018
SCI,Shipping Corporation of India Ltd.,Services,INE109A01011
SHREECEM,Shree Cement Ltd.,Construction Materials,INE070A01015
SHRIRAMFIN,Shriram Finance Ltd.,Financial Services,INE721A01047
SHYAMMETL,Shyam Metalics and Energy Ltd.,Capital Goods,INE810G01011
SIEMENS,Siemens Ltd.,Capital Goods,INE003A01024
SIGNATURE,Signatureglobal (India) Ltd.,Realty,INE903U01023
SJVN,SJVN Ltd.,Power,INE002L01015
SOBHA,Sobha Ltd.,Realty,INE671H01015
SOLARINDS,Solar Industries India Ltd.,Chemicals,INE343H01029
SONACOMS,Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,INE073K01018
SONATSOFTW,Sonata Software Ltd.,Information Technology,INE269A01021
SPLPETRO,Supreme Petrochem Ltd.,Chemicals,INE663A01033
SRF,SRF Ltd.,Chemicals,INE647A01010
STARHEALTH,Star Health and Allied Insurance Company Ltd.,Financial Services,INE575P01011
SUMICHEM,Sumitomo Chemical India Ltd.,Chemicals,INE258G01013
SUNDARMFIN,Sundaram Finance Ltd.,Financial Services,INE660A01013
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,Healthcare,INE044A01036
SUNTV,Sun TV Network Ltd.,Media Entertainment & Publication,INE424H01027
SUPREMEIND,Supreme Industries Ltd.,Capital Goods,INE195A01028
SUZLON,Suzlon Energy Ltd.,Capital Goods,INE040H01021
SWANCORP,Swan Corp Ltd.,Chemicals,INE665A01038
SWIGGY,Swiggy Ltd.,Consumer Services,INE00H001014
SYNGENE,Syngene International Ltd.,Healthcare,INE398R01022
SYRMA,Syrma SGS Technology Ltd.,Capital Goods,INE0DYJ01015
TARIL,Transformers And Rectifiers (India) Ltd.,Capital Goods,INE763I01026
TATACAP,Tata Capital Ltd.,Financial Services,INE976I01016
TATACHEM,Tata Chemicals Ltd.,Chemicals,INE092A01019
TATACOMM,Tata Communications Ltd.,Telecommunication,INE151A01013
TATACONSUM,Tata Consumer Products Ltd.,Fast Moving Consumer Goods,INE192A01025
TATAELXSI,Tata Elxsi Ltd.,Information Technology,INE670A01012
TATAINVEST,Tata Investment Corporation Ltd.,Financial Services,INE672A01026
TATAPOWER,Tata Power Co. Ltd.,Power,INE245A01021
TATASTEEL,Tata Steel Ltd.,Metals & Mining,INE081A01020
TATATECH,Tata Technologies Ltd.,Information Technology,INE142M01025
TBOTEK,TBO Tek Ltd.,Consumer Services,INE673O01025
TCS,Tata Consultancy Services Ltd.,Information Technology,INE467B01029
TECHM,Tech Mahindra Ltd.,Information Technology,INE669C01036
TECHNOE,Techno Electric & Engineering Company Ltd.,Construction,INE285K01026
TEGA,Tega Industries Ltd.,Capital Goods,INE011K01018
TEJASNET,Tejas Networks Ltd.,Telecommunication,INE010J01012
TENNIND,Tenneco Clean Air India Ltd.,Automobile and Auto Components,INE19RI01016
THELEELA,Leela Palaces Hotels & Resorts Ltd.,Consumer Services,INE0AQ201015
THERMAX,Thermax Ltd.,Capital Goods,INE152A01029
TIINDIA,Tube Investments of India Ltd.,Automobile and Auto Components,INE974X01010
TIMKEN,Timken India Ltd.,Capital Goods,INE325A01013
TITAGARH,Titagarh Rail Systems Ltd.,Capital Goods,INE615H01020
TITAN,Titan Company Ltd.,Consumer Durables,INE280A01028
TMCV,Tata Motors Ltd.,Capital Goods,INE1TAE01010
TMPV,Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,INE155A01022
TORNTPHARM,Torrent Pharmaceuticals Ltd.,Healthcare,INE685A01028
TORNTPOWER,Torrent Power Ltd.,Power,INE813H01021
TRAVELFOOD,Travel Food Services Ltd.,Consumer Services,INE103V01028
TRENT,Trent Ltd.,Consumer Services,INE849A01020
TRIDENT,Trident Ltd.,Textiles,INE064C01022
TRITURBINE,Triveni Turbine Ltd.,Capital Goods,INE152M01016
TTML,Tata Teleservices (Maharashtra) Ltd.,Telecommunication,INE517B01013
TVSMOTOR,TVS Motor Company Ltd.,Automobile and Auto Components,INE494B01023
UBL,United Breweries Ltd.,Fast Moving Consumer Goods,INE686F01025
UCOBANK,UCO Bank,Financial Services,INE691A01018
ULTRACEMCO,UltraTech Cement Ltd.,Construction Materials,INE481G01011
UNIONBANK,Union Bank of India,Financial Services,INE692A01016
UNITDSPR,United Spirits Ltd.,Fast Moving Consumer Goods,INE854D01024
UNOMINDA,UNO Minda Ltd.,Automobile and Auto Components,INE405E01023
UPL,UPL Ltd.,Chemicals,INE628A01036
URBANCO,Urban Company Ltd.,Consumer Services,INE0CAZ01013
USHAMART,Usha Martin Ltd.,Capital Goods,INE228A01035
UTIAMC,UTI Asset Management Company Ltd.,Financial Services,INE094J01016
VBL,Varun Beverages Ltd.,Fast Moving Consumer Goods,INE200M01039
VEDL,Vedanta Ltd.,Metals & Mining,INE205A01025
VIJAYA,Vijaya Diagnostic Centre Ltd.,Healthcare,INE043W01024
VMM,Vishal Mega Mart Ltd.,Consumer Services,INE01EA01019
VOLTAS,Voltas Ltd.,Consumer Durables,INE226A01021
VTL,Vardhman Textiles Ltd.,Textiles,INE825A01020
WAAREEENER,Waaree Energies Ltd.,Capital Goods,INE377N01017
WELCORP,Welspun Corp Ltd.,Capital Goods,INE191B01025
WELSPUNLIV,Welspun Living Ltd.,Textiles,INE192B01031
WHIRLPOOL,Whirlpool of India Ltd.,Consumer Durables,INE716A01013
WIPRO,Wipro Ltd.,Information Technology,INE075A01022
WOCKPHARMA,Wockhardt Ltd.,Healthcare,INE049B01025
YESBANK,Yes Bank Ltd.,Financial Services,INE528G01035
ZEEL,Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,INE256A01028
ZENSARTECH,Zensar Technolgies Ltd.,Information Technology,INE520A01027
ZENTEC,Zen Technologies Ltd.,Capital Goods,INE251B01027
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,INE342J01019
ZYDUSLIFE,Zydus Lifesciences Ltd.,Healthcare,INE010B01027
ZYDUSWELL,Zydus Wellness Ltd.,Fast Moving Consumer Goods,INE768C01028
